chr	start	end	value	genesymbol_deg
chr7	20615667	20777038	1.90517065723406	ABCB5
chr5	131949973	132012243	1.84555189064655	ACSL6
chr16	20623235	20698890	1.53509222191163	ACSM1
chr1	17755333	17827063	3.97401091916756	ACTL8
chr3	101163094	101163986	3.78764836059684	ACTR3P3
chr10	70672506	70762441	2.01153681576148	ADAMTS14
chr11	130404923	130428609	1.0110863147471	ADAMTS8
chr2	70607618	70768225	1.44096201876996	ADD2
chr8	142449430	142545009	1.13505883125815	ADGRB1
chr3	186842704	186858463	5	ADIPOQ
chr12	8602170	8612867	3.68824973027831	AICDA
chr7	138002324	138118305	2.10739131220907	AKR1D1
chr7	2679522	2775500	1.86503342099574	AMZ1
chr1	62597520	62606313	1.3894309622815	ANGPTL3
chr4	112973272	113071962	1.20917031299004	ANK2-AS1
chr13	23939557	23946782	4.13471255710849	ANKRD20A19P
chr17	50761029	50767557	2.34642029085767	ANKRD40CL
chr10	47460162	47484158	4.14227608118255	ANXA8
chr10	46375627	46391784	2.65881633852981	ANXA8L1
chr15	28884483	29118315	1.38358557540618	APBA2
chr20	58459101	58515399	2.57806128030743	APCDD1L
chr20	58515379	58619888	2.69532870868882	APCDD1L-DT
chr3	195568705	195584033	2.50672826061873	APOD
chr17	12789498	12991643	1.26036935097593	ARHGAP44
chr7	144272445	144286966	1.08697536944672	ARHGEF34P
chr2	234493041	234497081	1.14213221729946	ARL4C
chr1	43933320	43937240	1.14772379578592	ARTN
chr13	25371974	26025851	1.33592515711581	ATP8A2
chr2	231395710	231401164	1.05558644995533	B3GNT7
chr12	459939	563509	1.45880582651844	B4GALNT3
chr11	369499	382117	2.70588312205528	B4GALNT4
chr20	53936777	54070594	1.8998331362681	BCAS1
chr16	66427295	66493529	1.13201004791854	BEAN1
chr22	43110750	43129712	1.18188150558233	BIK
chr20	57168753	57266641	2.2046935851396	BMP7
chr16	5044122	5066110	1.14641748688675	C16orf89
chr2	41935368	41956806	1.87668366800955	C2orf91
chr6	165279664	165309605	2.4183365096837	C6orf118
chr8	143039209	143060684	1.43254084465917	C8orf31
chr9	112399512	112487204	1.21121388578794	C9orf147
chr1	181317690	181808084	1.21224682907019	CACNA1E
chr3	54122547	55074557	1.07448596917043	CACNA2D3
chr3	54874605	54901255	1.3357366742703	CACNA2D3-AS1
chr12	48813794	48828941	1.0020673744289	CACNB3
chr16	71358713	71390436	1.92803712658983	CALB2
chr18	72536680	72638521	2.67648853795528	CBLN2
chr7	128790757	128822132	1.50378362313998	CCDC136
chr7	77122434	77329533	1.58926721829037	CCDC146
chr2	196639554	196763490	1.0688164017339	CCDC150
chr13	36222008	36297840	1.16394387890215	CCDC169
chr17	34285742	34288334	1.93682548646571	CCL11
chr19	43353686	43363172	5	CD177
chr2	106487364	106544297	2.35861093198305	CD8B2
chr18	65750252	65890337	3.99122018033248	CDH7
chr3	49790732	49799873	2.27750393632178	CDHR4
chr2	201790461	201895550	1.46277597685955	CDK15
chr16	55802851	55833337	1.89638133224273	CES1
chr16	55760566	55793960	2.76250586062633	CES1P1
chr7	117287120	117715971	2.4273966577523	CFTR
chr10	49609095	49667942	2.96591312690112	CHAT
chr1	111200771	111243440	1.32411628152915	CHI3L2
chr15	78565520	78595269	1.22149342896041	CHRNA5
chr15	65194760	65211473	1.24072220148469	CILP
chr3	170418868	170454733	1.64162725076352	CLDN11
chr3	140505611	140508789	1.35884548842591	CLSTN2-AS1
chrX	21372801	21654695	1.82535627055174	CNKSR2
chr11	99020949	100358885	2.82610550035957	CNTN5
chr14	30874514	30895065	2.073762178001	COCH
chr1	31652263	31704319	1.35922824821575	COL16A1
chr8	118995452	119108455	1.64237614895235	COLEC10
chr18	316737	500722	1.17235261553403	COLEC12
chr1	183929854	184037729	1.06549792075556	COLGALT2
chr15	82543201	82648861	1.50605130404689	CPEB1
chr3	149229356	149291800	1.38295474441874	CPHL1P
chr15	78340353	78348225	3.33308234262923	CRABP1
chr1	156699606	156705816	1.1707221794322	CRABP2
chr9	123356170	123380324	1.60113026235348	CRB2
chr1	152409243	152414263	3.20650207027294	CRNN
chr22	25199858	25207359	2.34418090904655	CRYBB3
chr2	222318275	222352989	1.66550548172097	CT75
chr7	144183466	144186053	1.08863429072306	CTAGE4
chr5	10971836	11904446	2.45202795430951	CTNND2
chr7	117710651	117874139	1.13419180115428	CTTNBP2
chr15	51208057	51338601	1.89030530648594	CYP19A1
chr10	93073475	93077885	2.22119220131964	CYP26A1
chr13	18741730	18742718	2.39626544789093	CYP4F34P
chr13	48653711	48711226	2.55011770726174	CYSLTR2
chr4	5014586	5019458	1.07443616712535	CYTL1
chr1	56994778	58546734	1.60206800523551	DAB1
chr2	158795317	158862781	3.43810052081663	DAPL1
chr1	53891239	53911086	1.32129503083209	DIO1
chr15	40358219	40378621	1.37613453006629	DISP2
chr18	3962353	4024150	3.03943576264611	DLGAP1-AS4
chr12	123762188	123935720	1.03185507682799	DNAH10
